[Problema]  
Agenda e avisos escolares.

[Objetivo do assistente]  
Informar sobre provas, eventos, reuniões e prazos.

[Dados de Contexto]  
1. Evento: Prova de Matemática | Data: 2025-08-21 | Local: Sala 2 | Descrição: Avaliação de Álgebra e Funções para o 2º ano do Ensino Médio.  
2. Evento: Campeonato Interno de Futsal | Data: 2025-08-22 | Local: Quadra | Descrição: Jogos eliminatórios da categoria juvenil.  
3. Evento: Apresentação de Teatro | Data: 2025-08-23 | Local: Auditório | Descrição: Peça "Auto da Barca do Inferno" pelos alunos do 3º ano.  
4. Evento: Feira de Ciências | Data: 2025-08-24 | Local: Ginásio | Descrição: Exposição de projetos científicos das turmas do Ensino Médio.  
5. Evento: Reunião de Pais e Mestres | Data: 2025-08-25 | Local: Sala de Reuniões | Descrição: Apresentação de resultados bimestrais.  
6. Evento: Prova de Química | Data: 2025-08-26 | Local: Sala 1 | Descrição: Avaliação sobre ligações químicas e reações orgânicas.  
7. Evento: Oficina de Robótica | Data: 2025-08-27 | Local: Laboratório de Informática | Descrição: Construção de robôs com kits Lego Mindstorms.  
8. Evento: Campeonato de Xadrez | Data: 2025-08-28 | Local: Biblioteca | Descrição: Torneio classificatório para competição municipal.  
9. Evento: Aula de Campo – Museu de História Natural | Data: 2025-08-29 | Local: Saída em frente à escola | Descrição: Visita guiada ao museu para estudo de fósseis e biodiversidade.  
10. Evento: Sarau Literário | Data: 2025-08-30 | Local: Auditório | Descrição: Leitura e apresentação de poesias autorais e clássicas.  
11. Evento: Prova de Física | Data: 2025-09-01 | Local: Sala 2 | Descrição: Avaliação sobre cinemática e leis de Newton.  
12. Evento: Gincana Solidária | Data: 2025-09-02 | Local: Pátio | Descrição: Atividades recreativas e arrecadação de alimentos.  
13. Evento: Ensaio da Banda Escolar | Data: 2025-09-03 | Local: Sala de Música | Descrição: Preparação para apresentação no desfile cívico.  
14. Evento: Prova de História | Data: 2025-09-04 | Local: Sala 3 | Descrição: Conteúdo sobre Era Vargas e Ditadura Militar.  
15. Evento: Palestra sobre Cidadania Digital | Data: 2025-09-05 | Local: Auditório | Descrição: Uso seguro e ético da internet.  
16. Evento: Prova de Biologia | Data: 2025-09-06 | Local: Sala 1 | Descrição: Avaliação sobre genética e biotecnologia.  
17. Evento: Apresentação de Dança | Data: 2025-09-08 | Local: Quadra Coberta | Descrição: Coreografias criadas pelos alunos do ensino médio.  
18. Evento: Reunião do Grêmio Estudantil | Data: 2025-09-09 | Local: Sala 4 | Descrição: Discussão de propostas para melhorias na escola.  
